month,region,merchant_category,card_type,transaction_volume,avg_transaction_usd,interchange_rate,revenue_usd,acceptance_rate
2024-01-01,North America,Retail,Credit,6379203,83.09,0.0175,9275588.33,0.9547
2024-01-01,North America,Retail,Debit,4732529,43.65,0.0182,3759417.9,0.9521
2024-01-01,North America,Retail,Prepaid,1185008,27.21,0.0124,399858.57,0.9601
2024-01-01,North America,Travel,Credit,5767293,86.27,0.0216,10747458.83,0.9609
2024-01-01,North America,Travel,Debit,4356033,43.3,0.0221,4168380.91,0.9505
2024-01-01,North America,Travel,Prepaid,1258717,27.55,0.0223,773387.5,0.9534
2024-01-01,North America,Dining,Credit,6696481,81.54,0.0193,10538184.89,0.9523
2024-01-01,North America,Dining,Debit,4813531,43.29,0.0196,4084198.26,0.9644
2024-01-01,North America,Dining,Prepaid,1206955,27.66,0.0201,671023.43,0.961
2024-01-01,North America,Healthcare,Credit,6568877,88.07,0.0161,9314664.89,0.9615
2024-01-01,North America,Healthcare,Debit,4709255,40.86,0.0156,3001546.78,0.956
2024-01-01,North America,Healthcare,Prepaid,1119320,26.88,0.0157,472420.22,0.9557
2024-01-01,North America,E-commerce,Credit,6375467,83.9,0.0238,12730134.74,0.9544
2024-01-01,North America,E-commerce,Debit,4389987,42.62,0.0246,4602879.49,0.9621
2024-01-01,North America,E-commerce,Prepaid,1136858,27.06,0.0243,747481.75,0.9577
2024-01-01,North America,Fuel,Credit,6728740,85.48,0.0106,6097121.06,0.9635
2024-01-01,North America,Fuel,Debit,4810144,40.86,0.0147,2889316.07,0.951
2024-01-01,North America,Fuel,Prepaid,1164566,27.19,0.0143,452815.58,0.9685
2024-01-01,Europe,Retail,Credit,4961824,86.32,0.0178,7623931.24,0.938
2024-01-01,Europe,Retail,Debit,3646840,41.01,0.018,2692188.24,0.9352
2024-01-01,Europe,Retail,Prepaid,908837,28.24,0.0177,454229.54,0.9475
2024-01-01,Europe,Travel,Credit,4604671,89.23,0.0216,8874803.0,0.9402
2024-01-01,Europe,Travel,Debit,3196145,40.36,0.0214,2760559.22,0.9424
2024-01-01,Europe,Travel,Prepaid,942059,26.78,0.0219,552456.86,0.9378
2024-01-01,Europe,Dining,Credit,5051495,89.0,0.0195,8767279.96,0.9468
2024-01-01,Europe,Dining,Debit,3152682,42.76,0.0198,2669410.64,0.9407
2024-01-01,Europe,Dining,Prepaid,866422,26.91,0.0197,459353.74,0.9388
2024-01-01,Europe,Healthcare,Credit,4645348,88.19,0.0164,6719003.01,0.9356
2024-01-01,Europe,Healthcare,Debit,3420320,43.73,0.0157,2348421.4,0.947
2024-01-01,Europe,Healthcare,Prepaid,870976,28.31,0.0161,396914.54,0.9335
2024-01-01,Europe,E-commerce,Credit,4876568,87.37,0.0241,10267987.64,0.9406
2024-01-01,Europe,E-commerce,Debit,3146712,39.98,0.02,2516224.34,0.9481
2024-01-01,Europe,E-commerce,Prepaid,954535,27.46,0.0245,642206.82,0.9317
2024-01-01,Europe,Fuel,Credit,4963053,81.48,0.0149,6025260.54,0.9397
2024-01-01,Europe,Fuel,Debit,3184273,43.12,0.0147,2018232.41,0.933
2024-01-01,Europe,Fuel,Prepaid,896440,27.34,0.0145,355403.77,0.947
2024-01-01,Asia Pacific,Retail,Credit,4365643,85.33,0.0177,6593920.0,0.9142
2024-01-01,Asia Pacific,Retail,Debit,3075554,44.08,0.0178,2413133.08,0.9127
2024-01-01,Asia Pacific,Retail,Prepaid,841581,26.94,0.018,408081.46,0.905
2024-01-01,Asia Pacific,Travel,Credit,4305494,82.71,0.0221,7869590.77,0.9049
2024-01-01,Asia Pacific,Travel,Debit,3008289,40.86,0.0222,2728898.77,0.9174
2024-01-01,Asia Pacific,Travel,Prepaid,898910,27.27,0.0214,524515.1,0.9131
2024-01-01,Asia Pacific,Dining,Credit,4217908,88.7,0.0191,7146003.93,0.9113
2024-01-01,Asia Pacific,Dining,Debit,3215876,43.29,0.0198,2756557.1,0.9044
2024-01-01,Asia Pacific,Dining,Prepaid,795182,27.79,0.0194,428641.9,0.9094
2024-01-01,Asia Pacific,Healthcare,Credit,4582002,89.12,0.0162,6614896.76,0.9027
2024-01-01,Asia Pacific,Healthcare,Debit,3179674,43.52,0.0158,2186345.72,0.9054
